country,total_cases,total_deaths,total_recovered,active_cases,serious_critical,total_cases_per_1m_pop,deaths_per_1m_pop,total_tests,tests_per_1m_pop,population,name,country_population,region
Rwanda,133518,1468,"132,039",0,11,0,9817,108,6021981,442778,Rwanda,12943132,Africa
Cameroon,125379,1974,"123,280",0,125,0,4492,71,1751774,62762,Cameroon,28524175,Africa
Malta,121420,885,"120,149",0,386,0,273448,1993,2170600,4888375,Malta,460891,Europe
Barbados,110578,648,"108,647",0,"1,283",0,383921,2250,814159,2826715,Barbados,301865,Central America
Angola,107327,1937,"103,419",0,"1,971",0,3064,55,1499795,42818,Angola,33642646,Africa
DR of Congo,99338,1468,"84,489",0,"13,381",0,1043,15,846704,8890,DR of Congo,105044646,Africa
Malawi,89535,2686,0,0,0,0,4437,133,624784,30959,Malawi,20308502,Africa
Senegal,89053,1971,"87,024",0,58,0,5044,112,1146543,64946,Senegal,16082442,Africa
Ivory Coast,88384,835,"87,497",0,52,0,3186,30,1690934,60951,Ivory Coast,28088455,Africa
Suriname,82588,1408,0,0,0,0,138378,2359,242207,405822,Suriname,614749,South America
New Caledonia,80064,314,0,0,0,0,275214,1079,98964,340182,New Caledonia,293608,Australia - Oceania
French Polynesia,79254,650,0,0,0,0,278902,2287,0,0,French Polynesia,297154,Australia - Oceania
Eswatini,75191,1427,"73,116",0,648,0,63462,1204,1048704,885119,Eswatini,1113276,Africa
Guyana,74137,1300,"72,013",0,824,0,93366,1637,733218,923396,Guyana,787971,South America
Belize,71409,688,0,0,0,0,173243,1669,576016,1397453,Belize,405633,Central America
Fiji,69117,885,"67,226",0,"1,006",0,75997,973,672883,739866,Fiji,939535,Australia - Oceania
Madagascar,68486,1426,"66,862",0,198,0,2347,49,531329,18210,Madagascar,27534354,Africa
Cabo Verde,64477,417,"63,755",0,305,23,113580,735,401622,707482,Cabo Verde,589451,Africa
Sudan,63993,5046,"58,947",0,0,0,1391,110,562941,12240,Sudan,46751152,Africa
Mauritania,63848,997,"62,471",0,380,0,13025,203,1009957,206030,Mauritania,4079284,Africa
Bhutan,62697,21,"61,564",0,"1,112",0,79571,27,2303734,2923739,Bhutan,857423,South Asia
